Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Product,Customer
Test Jira issue summary 5052,PROJ-16,16,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_232,2401,Reporter_28,3479,Creator_5,4661,2023-04-10,2023-09-07,2023-01-15,2025-05-20,FNA,Victor03
Test Jira issue summary 6421,PROJ-17,17,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_290,2040,Reporter_188,3946,Creator_175,4250,2023-01-31,2024-04-09,2024-08-12,2024-04-19,FNB,Bravo03
Test Jira issue summary 1185,PROJ-18,18,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_154,2383,Reporter_198,3848,Creator_159,4228,2024-11-03,2023-07-30,2023-02-04,2025-01-07,FNA,Whiskey02
Test Jira issue summary 4556,PROJ-19,19,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_170,2885,Reporter_209,3158,Creator_244,4593,2024-07-11,2023-03-03,2023-12-10,2025-03-08,FNA,Xray01
Test Jira issue summary 3386,PROJ-20,20,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_159,2290,Reporter_266,3313,Creator_29,4829,2024-07-09,2024-11-09,2024-07-27,2024-01-04,FNA,Charlie02
Test Jira issue summary 6397,PROJ-21,21,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_113,2791,Reporter_258,3931,Creator_154,4487,2023-11-28,2024-01-10,2024-12-23,2023-05-05,FNB,Lima04
Test Jira issue summary 8667,PROJ-22,22,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Fixed,Assignee_51,2182,Reporter_257,3985,Creator_95,4620,2023-06-15,2025-07-10,2024-09-05,2023-11-07,FNC,Xray02
Test Jira issue summary 9275,PROJ-23,23,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_36,2763,Reporter_233,3267,Creator_2,4565,2023-03-08,2023-04-10,2025-05-29,2023-12-15,FNB,Lima02
Test Jira issue summary 2559,PROJ-24,24,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_13,2871,Reporter_204,3632,Creator_92,4481,2023-04-18,2024-07-29,2025-07-24,2024-10-26,FNA,Victor03
Test Jira issue summary 7850,PROJ-25,25,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_218,2039,Reporter_73,3674,Creator_56,4699,2023-12-12,2023-05-02,2024-06-11,2025-01-01,FNC,Sierra02
Test Jira issue summary 2048,PROJ-26,26,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_243,2598,Reporter_13,3975,Creator_236,4492,2025-06-03,2023-01-20,2023-06-27,2024-09-28,FNB,Golf02
Test Jira issue summary 2748,PROJ-27,27,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_223,2224,Reporter_71,3003,Creator_15,4112,2023-02-27,2024-09-01,2023-06-18,2023-12-31,FNA,Echo02
Test Jira issue summary 9168,PROJ-28,28,Task,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_208,2284,Reporter_1,3795,Creator_85,4549,2023-11-02,2023-01-20,2024-07-16,2023-05-09,FNB,Quebec01
Test Jira issue summary 9999,PROJ-29,29,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_269,2137,Reporter_159,3229,Creator_254,4285,2024-02-06,2025-05-21,2025-05-19,2024-09-03,FNB,Alpha03
Test Jira issue summary 190,PROJ-30,30,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_222,2334,Reporter_216,3800,Creator_221,4385,2024-02-17,2024-10-14,2024-01-27,2024-01-03,FNA,Sierra02
Test Jira issue summary 2735,PROJ-31,31,Bug,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Unresolved,Assignee_288,2137,Reporter_195,3484,Creator_249,4019,2023-01-05,2025-01-16,2024-12-05,2025-07-21,FNA,Hotel01
Test Jira issue summary 3006,PROJ-32,32,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_12,2473,Reporter_4,3329,Creator_45,4939,2023-04-07,2024-03-03,2023-06-12,2023-08-16,FNC,Bravo01
Test Jira issue summary 4659,PROJ-33,33,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Unresolved,Assignee_187,2487,Reporter_253,3926,Creator_20,4463,2024-09-11,2025-02-13,2025-04-12,2024-06-07,FNC,Romeo01
Test Jira issue summary 1900,PROJ-34,34,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_169,2575,Reporter_284,3205,Creator_124,4579,2024-09-20,2023-11-06,2024-01-27,2024-02-02,FNC,Delta03
Test Jira issue summary 7735,PROJ-35,35,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Unresolved,Assignee_293,2628,Reporter_300,3004,Creator_146,4879,2025-02-10,2023-12-02,2024-11-20,2025-05-24,FNA,Whiskey02
Test Jira issue summary 1268,PROJ-36,36,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Unresolved,Assignee_106,2924,Reporter_30,3777,Creator_230,4716,2025-07-08,2024-10-08,2023-07-08,2023-01-22,FNB,Golf02
Test Jira issue summary 1529,PROJ-37,37,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_176,2609,Reporter_292,3152,Creator_61,4205,2024-03-14,2023-12-02,2024-05-21,2023-12-23,FNC,India04
Test Jira issue summary 3557,PROJ-38,38,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_41,2145,Reporter_106,3424,Creator_121,4520,2025-06-23,2024-06-26,2025-01-29,2024-04-03,FNA,Alpha04
Test Jira issue summary 3891,PROJ-39,39,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_249,2897,Reporter_122,3016,Creator_256,4747,2023-10-24,2024-07-09,2024-10-22,2023-03-04,FNC,Whiskey02
Test Jira issue summary 8839,PROJ-40,40,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_267,2408,Reporter_196,3754,Creator_204,4397,2025-05-23,2023-06-10,2023-09-08,2024-07-17,FNA,Hotel01
Test Jira issue summary 5394,PROJ-41,41,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_222,2509,Reporter_203,3700,Creator_5,4778,2023-09-15,2024-02-01,2024-03-11,2023-09-14,FNB,Juliet03
Test Jira issue summary 8793,PROJ-42,42,Story,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_113,2084,Reporter_260,3211,Creator_77,4505,2024-10-16,2025-04-13,2023-05-18,2023-08-16,FNA,Foxtrot02
Test Jira issue summary 8434,PROJ-43,43,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_284,2562,Reporter_267,3827,Creator_141,4265,2023-04-25,2025-06-20,2024-02-14,2025-07-23,FNC,Papa02
Test Jira issue summary 7514,PROJ-44,44,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_278,2606,Reporter_241,3288,Creator_100,4989,2024-02-25,2024-06-11,2023-02-21,2024-04-17,FNA,Quebec01
Test Jira issue summary 2613,PROJ-45,45,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Fixed,Assignee_203,2789,Reporter_53,3648,Creator_208,4198,2024-02-25,2024-12-28,2023-12-17,2025-03-01,FNB,Whiskey04
Test Jira issue summary 7042,PROJ-46,46,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_262,2008,Reporter_124,3177,Creator_296,4312,2024-07-05,2024-01-11,2023-03-21,2023-10-19,FNC,Lima02
Test Jira issue summary 9556,PROJ-47,47,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_282,2858,Reporter_88,3670,Creator_195,4005,2024-08-08,2023-10-11,2024-11-09,2023-09-26,FNC,Uniform03
Test Jira issue summary 6236,PROJ-48,48,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_144,2088,Reporter_244,3900,Creator_180,4912,2024-05-30,2023-08-09,2024-01-28,2024-06-24,FNB,Sierra04
Test Jira issue summary 5487,PROJ-49,49,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_243,2088,Reporter_45,3173,Creator_258,4268,2024-01-08,2025-01-09,2024-10-01,2024-11-24,FNA,November02
Test Jira issue summary 7100,PROJ-50,50,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_270,2218,Reporter_64,3988,Creator_195,4570,2024-05-22,2024-08-06,2023-01-06,2023-12-17,FNB,Bravo02
Test Jira issue summary 9671,PROJ-51,51,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_35,2841,Reporter_186,3754,Creator_139,4814,2023-11-24,2024-06-26,2024-01-13,2023-05-07,FNB,Yankee03
Test Jira issue summary 776,PROJ-52,52,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_298,2349,Reporter_13,3622,Creator_11,4761,2023-02-08,2025-05-20,2023-12-04,2025-06-29,FNB,Charlie03
Test Jira issue summary 8227,PROJ-53,53,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_53,2890,Reporter_209,3643,Creator_266,4379,2024-10-08,2024-08-26,2023-04-30,2024-01-17,FNA,Alpha01
Test Jira issue summary 3153,PROJ-54,54,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_150,2899,Reporter_52,3030,Creator_28,4119,2024-09-22,2023-09-15,2024-08-31,2024-05-12,FNC,Quebec01
Test Jira issue summary 1586,PROJ-55,55,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_13,2404,Reporter_107,3003,Creator_119,4771,2025-04-09,2023-02-25,2025-04-28,2023-12-31,FNB,Bravo03
Test Jira issue summary 3944,PROJ-56,56,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_267,2891,Reporter_9,3890,Creator_249,4537,2024-09-13,2024-08-03,2025-01-18,2023-03-24,FNA,Kilo03
Test Jira issue summary 7556,PROJ-57,57,Story,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Unresolved,Assignee_97,2797,Reporter_112,3017,Creator_7,4543,2024-07-10,2024-07-20,2023-09-16,2025-07-03,FNC,Kilo02
Test Jira issue summary 3074,PROJ-58,58,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Unresolved,Assignee_86,2160,Reporter_120,3337,Creator_143,4951,2023-07-30,2023-01-14,2023-09-01,2024-02-22,FNA,Xray01
Test Jira issue summary 1022,PROJ-59,59,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_265,2042,Reporter_67,3231,Creator_7,4450,2025-07-11,2025-06-11,2024-11-12,2023-05-14,FNB,India02
Test Jira issue summary 3844,PROJ-60,60,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_71,2473,Reporter_82,3801,Creator_55,4394,2024-03-16,2023-04-11,2024-03-03,2024-11-17,FNB,Bravo03
Test Jira issue summary 7990,PROJ-61,61,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_17,2757,Reporter_202,3047,Creator_20,4885,2025-04-14,2025-06-30,2024-02-05,2024-04-08,FNA,Hotel03
Test Jira issue summary 9693,PROJ-62,62,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_189,2257,Reporter_185,3062,Creator_3,4979,2023-09-03,2023-04-21,2024-05-16,2025-03-09,FNA,November04
Test Jira issue summary 6874,PROJ-63,63,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_10,2854,Reporter_157,3269,Creator_20,4441,2024-12-24,2023-11-03,2023-06-29,2023-06-07,FNB,Alpha01
Test Jira issue summary 5676,PROJ-64,64,Task,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Incomplete,Assignee_166,2158,Reporter_116,3089,Creator_266,4819,2023-04-12,2024-11-04,2023-07-21,2023-01-16,FNA,Golf02
Test Jira issue summary 162,PROJ-65,65,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_39,2131,Reporter_114,3598,Creator_227,4156,2023-05-25,2025-04-05,2023-02-13,2023-04-04,FNB,Hotel01
Test Jira issue summary 4298,PROJ-66,66,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Incomplete,Assignee_219,2558,Reporter_133,3288,Creator_218,4129,2024-08-15,2023-09-24,2023-02-06,2023-06-18,FNA,India03
Test Jira issue summary 996,PROJ-67,67,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_94,2851,Reporter_248,3080,Creator_165,4234,2024-01-22,2024-07-27,2025-06-17,2025-01-28,FNC,Juliet01
Test Jira issue summary 7630,PROJ-68,68,Epic,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_158,2600,Reporter_111,3169,Creator_51,4451,2024-05-04,2023-09-26,2023-01-22,2025-02-10,FNA,Charlie02
Test Jira issue summary 9468,PROJ-69,69,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_34,2044,Reporter_232,3895,Creator_170,4991,2025-04-05,2024-04-13,2025-07-06,2023-10-30,FNC,Romeo01
Test Jira issue summary 1017,PROJ-70,70,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_289,2320,Reporter_59,3671,Creator_30,4048,2024-10-25,2024-11-07,2024-12-17,2023-06-11,FNA,Xray02
Test Jira issue summary 7870,PROJ-71,71,Bug,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_12,2193,Reporter_291,3623,Creator_244,4368,2024-03-21,2024-08-31,2025-06-10,2024-10-31,FNA,Alpha04
Test Jira issue summary 6440,PROJ-72,72,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Fixed,Assignee_233,2517,Reporter_261,3098,Creator_45,4404,2025-03-28,2024-07-27,2023-08-27,2023-11-14,FNC,Romeo03
Test Jira issue summary 7893,PROJ-73,73,Epic,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_87,2262,Reporter_50,3882,Creator_215,4528,2025-01-30,2025-02-12,2025-03-01,2023-11-03,FNB,Papa01
Test Jira issue summary 6864,PROJ-74,74,Epic,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Fixed,Assignee_93,2434,Reporter_271,3682,Creator_23,4108,2023-11-27,2023-08-22,2025-04-15,2024-11-02,FNC,Uniform04
Test Jira issue summary 7917,PROJ-75,75,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_107,2707,Reporter_103,3696,Creator_53,4716,2025-04-14,2023-03-07,2023-02-13,2024-12-22,FNA,Whiskey04
Test Jira issue summary 8530,PROJ-76,76,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_193,2529,Reporter_152,3477,Creator_42,4095,2023-02-03,2024-04-02,2023-03-01,2024-03-14,FNB,Bravo03
Test Jira issue summary 879,PROJ-77,77,Epic,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_10,2886,Reporter_21,3142,Creator_164,4498,2023-11-01,2025-02-23,2023-12-21,2024-08-16,FNB,Sierra03
Test Jira issue summary 9269,PROJ-78,78,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_125,2296,Reporter_258,3305,Creator_104,4898,2025-06-12,2023-07-17,2023-10-12,2024-03-07,FNA,Mike01
Test Jira issue summary 4888,PROJ-79,79,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_275,2500,Reporter_211,3371,Creator_162,4553,2024-09-29,2024-06-01,2023-08-21,2025-07-29,FNC,Papa01
Test Jira issue summary 4860,PROJ-80,80,Story,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_279,2618,Reporter_82,3754,Creator_154,4687,2023-11-01,2025-06-01,2024-05-19,2024-08-20,FNB,Delta02
Test Jira issue summary 6332,PROJ-81,81,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_128,2068,Reporter_10,3582,Creator_3,4115,2025-01-28,2024-10-09,2024-03-31,2023-05-08,FNC,Romeo04
Test Jira issue summary 8572,PROJ-82,82,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Won't Fix,Assignee_185,2024,Reporter_165,3574,Creator_43,4350,2023-05-19,2023-02-07,2024-08-28,2024-09-14,FNB,Foxtrot04
Test Jira issue summary 8685,PROJ-83,83,Bug,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Won't Fix,Assignee_59,2567,Reporter_151,3581,Creator_54,4670,2023-07-24,2023-10-21,2023-12-04,2024-04-10,FNA,Mike03
Test Jira issue summary 7209,PROJ-84,84,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Duplicate,Assignee_182,2512,Reporter_173,3392,Creator_13,4637,2025-03-14,2024-02-22,2025-06-06,2025-03-03,FNB,Hotel03
Test Jira issue summary 5277,PROJ-85,85,Task,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Unresolved,Assignee_74,2993,Reporter_65,3652,Creator_112,4384,2023-01-18,2024-03-25,2024-11-04,2024-03-10,FNA,Alpha02
Test Jira issue summary 2063,PROJ-86,86,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_2,2182,Reporter_250,3103,Creator_56,4347,2023-05-08,2023-07-30,2024-12-01,2024-02-05,FNA,Romeo04
Test Jira issue summary 65,PROJ-87,87,Task,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Fixed,Assignee_243,2898,Reporter_118,3145,Creator_104,4598,2025-05-22,2024-11-22,2023-12-04,2023-05-09,FNA,Whiskey03
Test Jira issue summary 8007,PROJ-88,88,Task,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_228,2053,Reporter_134,3674,Creator_175,4627,2025-03-19,2024-05-09,2024-04-11,2024-02-16,FNB,Kilo03
Test Jira issue summary 2569,PROJ-89,89,Bug,Closed,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,High,Incomplete,Assignee_48,2080,Reporter_18,3000,Creator_68,4502,2025-05-19,2023-06-15,2025-03-18,2023-05-08,FNC,Victor04
Test Jira issue summary 5464,PROJ-90,90,Epic,Reopened,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Duplicate,Assignee_6,2159,Reporter_255,3727,Creator_13,4580,2024-01-17,2024-10-17,2024-08-11,2024-03-28,FNC,Mike03
Test Jira issue summary 2028,PROJ-91,91,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Won't Fix,Assignee_43,2983,Reporter_168,3124,Creator_286,4512,2023-07-14,2023-06-19,2025-05-24,2025-06-24,FNB,Romeo02
Test Jira issue summary 2696,PROJ-92,92,Story,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Low,Incomplete,Assignee_145,2385,Reporter_17,3369,Creator_161,4847,2023-12-08,2025-01-19,2023-01-28,2025-04-05,FNC,Charlie03
Test Jira issue summary 9688,PROJ-93,93,Bug,In Progress,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Won't Fix,Assignee_127,2448,Reporter_10,3035,Creator_166,4202,2024-09-01,2023-09-28,2023-07-19,2025-02-10,FNC,Mike01
Test Jira issue summary 5259,PROJ-94,94,Task,Open,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Critical,Duplicate,Assignee_246,2737,Reporter_230,3241,Creator_299,4035,2024-07-19,2023-12-24,2024-07-05,2024-03-01,FNC,Delta04
Test Jira issue summary 5619,PROJ-95,95,Story,Resolved,PROJ,Revix Project,Software,Project Leader,1001,Revix software development project,http://revix.project.url,Medium,Unresolved,Assignee_121,2263,Reporter_31,3719,Creator_259,4612,2023-05-30,2024-01-15,2023-07-04,2025-03-09,FNA,Xray01
